"indicator","País__ESTANDAR","Años__ESTANDAR","value","unit","notes_ids","source_id"
"Variación de temperatura media","Guatemala","1961","-0.07","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1962","-0.16","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1963","-0.14","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1964","-0.08","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1965","-0.10","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1966","-0.10","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1967","-0.41","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1968","-0.37","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1969","0.39","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1970","-0.10","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1971","-0.11","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1972","0.48","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1973","0.51","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1974","-0.22","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1975","0.21","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1976","-0.32","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1977","0.31","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1978","0.24","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1979","0.46","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1980","0.57","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1981","0.11","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1982","0.56","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1983","0.73","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1984","0.17","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1985","0.23","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1986","0.17","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1987","0.42","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1988","0.54","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1989","0.23","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1990","0.39","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1991","0.69","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1992","0.52","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1993","0.43","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1994","0.68","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1995","0.70","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1996","0.20","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1997","0.79","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1998","0.97","Grados celsius","","651"
"Variación de temperatura media","Guatemala","1999","0.66","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2000","0.42","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2001","0.46","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2002","0.69","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2003","1.10","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2004","0.75","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2005","0.89","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2006","0.68","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2007","0.66","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2008","0.20","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2009","0.73","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2010","0.69","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2011","0.45","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2012","0.56","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2013","0.66","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2014","0.63","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2015","1.17","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2016","1.46","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2017","1.09","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2018","0.89","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2019","1.39","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2020","1.68","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2021","1.40","Grados celsius","","651"
"Variación de temperatura media","Guatemala","2022","0.94","Grados celsius","",""
